320 240
1.07807 0 0
0.192356 0 0
0.197811 0 0
0.172407 0 0
0.259505 0 0
0.201027 0 0
0.131745 0 0
1.18458 0 0
0.15338 0 0
0.159652 0 0
1.26027 0 0
0.137388 0 0
1.10115 0 0
0.161555 0.006625 0.006625
0.195168 0.0882518 0.0882518
0.102174 0.0309073 0.0395196
0.0873716 0.0426539 0.0426539
0.921743 0.835238 0.839099
0.0982659 0.0511574 0.0664637
2.4076 0.829066 0.830958
1.56107 0.0917669 0.0972605
0.160262 0.0590897 0.0646085
0.325157 0.0732485 0.0732485
0.188505 0.119395 0.150082
0.096906 0.096906 0.096906
0.146061 0.0960701 0.12537
0.261302 0.201289 0.201289
0.137368 0.0636068 0.0789766
0.165677 0.116445 0.127352
0.886311 0.834541 0.845039
0.886565 0.113363 0.126607
0.877284 0.0704063 0.0704063
0.964184 0.901864 0.91101
0.0599066 0.0325099 0.0390469
0.188181 0.0644412 0.0849799
0.0107696 0.00933728 0.0192294
0.218891 0.11196 0.11196
0.115131 0.0833788 0.0833788
0.88239 0.838187 0.864748
1.00771 0.177986 0.177986
0.138272 0.132803 0.148555
0.916494 0.858188 0.877086
0.792102 0.0319081 0.0425425
0.0493933 0.0310053 0.0497151
0.181216 0.0865102 0.103504
0.13613 0.0700017 0.085515
0.14087 0.105792 0.138745
0.16593 0.132908 0.134254
0.178083 0.15609 0.164205
0.117945 0.097957 0.101723
0.279496 0.22953 0.257435
0.131533 0.116767 0.146445
0.891589 0.848483 0.855868
0.263018 0.185329 0.202771
0.14735 0.107111 0.12809
0.135747 0.111173 0.112642
0.175782 0.144883 0.171185
0.19301 0.333094 0.830037
0.183823 0.0895297 0.115348
1.72469 1.65523 1.7138
0.100215 0.0580109 0.0580109
0.198572 0.132081 0.154492
0.821452 0.0758222 0.0854065
0.881742 0.123812 0.173398
0.909416 0.867 0.87779
0.0827101 0.0782393 0.0895105
0.968724 0.906325 0.921711
0.228805 0.131924 0.131924
0.928427 0.140868 0.160153
0.923851 0.84406 0.854875
0.154949 0.135916 0.168891
0.151041 0.0692199 0.0993301
0.259681 0.172992 0.172992
1.0619 0.227807 0.275356
0.833245 0.0276014 0.0522315
0.124791 0.125007 0.12544
0.915553 0.160487 0.167815
0.973801 0.198727 0.201246
0.914032 0.110988 0.114627
0.147995 0.129886 0.166286
0.152785 0.117512 0.130985
0.255108 0.149519 0.175641
0.808106 0.0459355 0.0575205
0.233192 0.225997 0.268303
0.148008 0.146877 0.152415
0.143101 0.107096 0.114435
2.46841 0.909531 0.919999
0.134527 0.129849 0.154153
0.106724 0.104588 0.137943
1.05587 1.00574 1.01244
0.878326 0.853306 0.861257
0.0753916 0.0401907 0.0515065
1.55486 0.0641427 0.0716351
1.63088 1.61741 1.63131
0.863328 0.0575602 0.0706587
0.9454 0.914215 0.92655
0.121671 0.11938 0.130642
0.196252 0.146181 0.168121
0.0972503 0.086539 0.105014
0.894387 0.83205 0.842832
1.63694 1.87679 2.37341
0.235548 0.109658 0.124392
0.115036 0.130916 0.1841
1.56606 0.801834 0.815871
