320 240
0.0965948 0 0
0.139091 0 0
0.0793143 0 0
0.0776096 0 0
0.104126 0 0
0.102263 0 0
0.107501 0 0
0.106882 0 0
0.105575 0 0
0.0939668 0 0
0.0933608 0 0
0.133481 0 0
0.0858762 0 0
0.118539 0.0076682 0.00686429
0.078254 0.0252475 0.0216558
0.0921506 0.0406859 0.0337876
0.0587439 0.0292029 0.0224899
0.0783067 0.0387464 0.0344774
0.0916854 0.0440345 0.0388296
0.0776705 0.0389281 0.0350984
0.0849815 0.0573273 0.0454411
0.0822669 0.04333 0.0376595
0.0972722 0.0533636 0.0451371
0.0862291 0.0411998 0.0370483
0.0957616 0.049728 0.0437313
0.102403 0.0609111 0.055265
0.101792 0.0462962 0.0395807
0.0709813 0.0415307 0.0361042
0.0829384 0.045564 0.0370821
0.094903 0.0487118 0.0438927
0.100227 0.0487913 0.040295
0.103656 0.0643706 0.0521606
0.0811219 0.040151 0.0350699
0.0955037 0.0463546 0.0392702
0.09894 0.0573472 0.048149
0.0896523 0.0517978 0.0420256
0.10605 0.0598719 0.052618
0.0989742 0.0659014 0.0588185
0.110273 0.0567122 0.0487156
0.10255 0.0528854 0.0423666
0.101245 0.0538064 0.0511343
0.0915267 0.0485365 0.0414346
0.106262 0.0431448 0.0383148
0.0988031 0.0474769 0.0414037
0.0960542 0.0566431 0.0508538
0.0923565 0.0610788 0.0544644
0.0901518 0.0480473 0.0426546
0.100126 0.0641484 0.0561473
0.104329 0.0549698 0.0510517
0.0643617 0.0377654 0.0267153
0.102645 0.0694322 0.0605787
0.115175 0.0594877 0.0508376
0.106201 0.0525473 0.04368
0.103252 0.0576222 0.0485844
0.0907046 0.046999 0.0416951
0.0998428 0.0628395 0.0559255
0.10885 0.0642737 0.0560213
0.1102 0.0546148 0.0485859
0.131222 0.0774879 0.0684448
0.0842148 0.0470633 0.0399841
0.094386 0.0500322 0.0438786
0.123497 0.0593467 0.052882
0.102382 0.0521414 0.0458267
0.0860137 0.0662247 0.0530156
0.10232 0.0690501 0.0593583
0.104753 0.0666187 0.0576622
0.114875 0.0749136 0.0652845
0.107989 0.0568318 0.0477312
0.123974 0.0882696 0.077955
0.0867776 0.0478604 0.0411286
0.111019 0.0735447 0.0638748
0.105491 0.0704073 0.0587233
0.116303 0.0599102 0.0512225
0.117726 0.0732232 0.0601173
0.109338 0.0730741 0.0640337
0.113077 0.0693989 0.0542239
0.110051 0.0743761 0.0629344
0.111668 0.0646861 0.0555908
0.108778 0.0753741 0.0593816
0.10262 0.0731627 0.0570534
0.109298 0.0768031 0.0634496
0.115103 0.0748392 0.0612744
0.123687 0.0851531 0.0693507
0.125417 0.0706051 0.0596382
0.138789 0.0788201 0.0708461
0.0923241 0.0520771 0.0435685
0.109315 0.069512 0.0584466
0.144154 0.0874353 0.0800523
0.0950998 0.0640482 0.0519691
0.117592 0.0664883 0.0607094
0.101252 0.0683155 0.0535736
0.0931517 0.0541748 0.0475166
0.139338 0.0783716 0.0683486
0.108216 0.0595205 0.0491978
0.108293 0.0773592 0.0629381
0.112075 0.088776 0.0726021
0.120302 0.0746638 0.0644301
0.104376 0.0640479 0.0526788
0.129153 0.0766729 0.071665
0.0968783 0.0649826 0.0533277
0.108655 0.0736661 0.0563498
0.121463 0.0704135 0.0581159
0.111091 0.0792239 0.06589
0.13396 0.094342 0.0814198
0.115267 0.0785605 0.0665126
0.10929 0.0703036 0.0588717
0.128932 0.0878345 0.075781
0.129113 0.104864 0.0888592
0.107047 0.0731657 0.0600713
0.1166 0.0815526 0.0677599
0.123935 0.0786647 0.0639409
0.10881 0.0834787 0.069588
0.11515 0.069696 0.0583097
0.116422 0.0777538 0.0652301
0.104254 0.0719689 0.0590391
0.135583 0.0942078 0.0801766
0.124274 0.0916245 0.0779523
0.141299 0.0831328 0.0726225
0.111978 0.0750312 0.0648451
0.12397 0.0929544 0.080793
0.120802 0.0860981 0.0682715
0.121022 0.0911519 0.0741695
0.120787 0.0794237 0.0717263
0.115234 0.087076 0.0746216
0.12924 0.106575 0.0917044
0.115594 0.0776114 0.0691509
0.132845 0.11199 0.0980146
0.137678 0.102979 0.0857886
0.122086 0.108294 0.0872927
0.125423 0.0842943 0.0727563
0.108298 0.107735 0.085132
0.111111 0.0902491 0.0756973
0.102578 0.0839915 0.0687335
0.125692 0.0858908 0.0683377
0.116345 0.0751493 0.0585917
0.130867 0.0904122 0.0772742
0.115513 0.0930119 0.0760264
0.0912122 0.0671619 0.0525637
0.101097 0.0779058 0.0635488
0.112006 0.0953679 0.0820258
0.0908301 0.0701266 0.0588951
